sofifa_id,short_name,nationality,overall,player_positions,work_rate,team_position
167948,H. Lloris,France,88,GK,Medium/Medium,GK
168542,David Silva,Spain,88,"CAM, CM",High/Medium,LCM
179813,E. Cavani,Uruguay,88,ST,High/High,ST
182493,D. Godín,Uruguay,88,CB,Medium/High,RCB
182521,T. Kroos,Germany,88,CM,Medium/Medium,LCM
188350,M. Reus,Germany,88,"CAM, LM, ST",High/Medium,CAM
188567,P. Aubameyang,Gabon,88,"ST, LM",Medium/Low,LM
208722,S. Mané,Senegal,88,"LW, LM",High/Medium,LW
212218,A. Laporte,France,87,"CB, LB",Medium/Medium,LCB
218667,Bernardo Silva,Portugal,87,"RW, CAM, CM",High/High,RW
200145,Casemiro,Brazil,87,CDM,Medium/High,CDM
200104,H. Son,Korea Republic,87,"CF, LM",High/High,LM
135507,Fernandinho,Brazil,87,CDM,Medium/High,CDM
164240,Thiago Silva,Brazil,87,CB,Medium/High,LCB
165153,K. Benzema,France,87,"CF, ST",Medium/Low,CF
172871,J. Vertonghen,Belgium,87,CB,High/High,LCB
175943,D. Mertens,Belgium,87,"CF, ST",High/Low,SUB
178603,M. Hummels,Germany,87,CB,High/Medium,LCB
184087,T. Alderweireld,Belgium,87,CB,Medium/Medium,RCB
189332,Jordi Alba,Spain,87,LB,High/Medium,LB
189509,Thiago,Spain,87,"CM, CAM, CDM",Medium/Medium,CDM
193041,K. Navas,Costa Rica,87,GK,Medium/Medium,SUB
198219,L. Insigne,Italy,87,"CF, LW, ST",High/Medium,LS
222492,L. Sané,Germany,86,LW,High/Medium,SUB
207865,Marquinhos,Brazil,86,"CB, CDM",Medium/High,RCB
232363,M. Škriniar,Slovakia,86,CB,Medium/High,LCB
199556,M. Verratti,Italy,86,"CM, CDM",Medium/High,RCM
205600,S. Umtiti,France,86,CB,Medium/High,SUB
186153,W. Szczęsny,Poland,86,GK,Medium/Medium,GK
212622,J. Kimmich,Germany,86,"RB, CM, CDM",High/Low,RB
197781,Isco,Spain,86,"CAM, CM, LW",Medium/Low,SUB
201942,Roberto Firmino,Brazil,86,"CF, ST, CAM",High/High,CF
168651,I. Rakitić,Croatia,86,"CM, CDM",Medium/Medium,RCM
180206,M. Pjanić,Bosnia Herzegovina,86,"CM, CDM",Medium/Medium,CDM
183898,A. Di María,Argentina,86,"RW, LW",High/Medium,LW
184344,L. Bonucci,Italy,86,CB,Low/High,RCB
189242,Coutinho,Brazil,86,"LW, CM",High/Medium,LCM
189513,Parejo,Spain,86,CM,Medium/Medium,RCM
189596,T. Müller,Germany,86,"CAM, RM, RW",High/High,SUB
192387,C. Immobile,Italy,86,ST,High/Medium,ST
193301,A. Lacazette,France,86,ST,High/High,ST
235243,M. de Ligt,Netherlands,85,CB,Medium/High,SUB
230621,G. Donnarumma,Italy,85,GK,Medium/Medium,GK
228702,F. de Jong,Netherlands,85,"CM, CDM",Medium/High,LCM
201535,R. Varane,France,85,CB,Medium/High,RCB
212190,N. Süle,Germany,85,CB,Medium/Medium,RCB
223848,S. Milinković-Savić,Serbia,85,"CM, CAM",High/Medium,RDM
231866,Rodri,Spain,85,"CDM, CM",Medium/High,SUB
208421,Saúl,Spain,85,"CM, LM, RM",High/High,LCM
209499,Fabinho,Brazil,85,CDM,Medium/High,CDM
216267,A. Robertson,Scotland,85,LB,High/High,LB
216460,J. Giménez,Uruguay,85,CB,Medium/High,RCB
220440,C. Lenglet,France,85,CB,Medium/High,LCB
212198,Bruno Fernandes,Portugal,85,"CAM, CM",High/High,RCM
199482,A. Lopes,Portugal,85,GK,Medium/Medium,GK
185122,P. Gulácsi,Hungary,85,GK,Medium/Medium,GK
189117,R. Bürki,Switzerland,85,GK,Medium/Medium,GK
192505,R. Lukaku,Belgium,85,ST,Medium/Medium,LS
192774,K. Manolas,Greece,85,CB,Low/High,RCB
194404,Neto,Brazil,85,GK,Medium/Medium,SUB
197445,D. Alaba,Austria,85,"LB, CB",Medium/Medium,LB
201399,M. Icardi,Argentina,85,ST,Medium/Low,RES
204963,Carvajal,Spain,85,RB,High/High,RB
208670,H. Ziyech,Morocco,85,"CAM, RW",High/Medium,RAM
41236,Z. Ibrahimović,Sweden,85,ST,Medium/Low,ST
143076,A. Gómez,Argentina,85,"CAM, CF, ST",High/Medium,CAM
167664,G. Higuaín,Argentina,85,ST,High/Medium,SUB
170890,B. Matuidi,France,85,"CDM, CM",Medium/High,SUB
173731,G. Bale,Wales,85,"RW, LW, ST",Medium/Medium,SUB
176676,Marcelo,Brazil,85,LB,High/Low,LB
177413,A. Witsel,Belgium,85,"CDM, CM",Medium/High,LDM
191043,Alex Sandro,Brazil,85,"LB, LM",High/Medium,LB
192629,Iago Aspas,Spain,85,"ST, RW",High/High,RS
193747,Koke,Spain,85,"RM, LM, CM",High/High,RM
198710,J. Rodríguez,Colombia,85,"CAM, CM, RM",Medium/Medium,SUB
199914,Allan,Brazil,85,CM,Medium/High,RCM
233049,J. Sancho,England,84,"RM, LM",Medium/Low,RM
235790,K. Havertz,Germany,84,"CAM, RM",Medium/Medium,RF
231443,O. Dembélé,France,84,"RW, LW",High/Medium,SUB
206585,Kepa,Spain,84,GK,Medium/Medium,GK
210514,João Cancelo,Portugal,84,RB,High/Medium,SUB
211117,D. Alli,England,84,"CAM, CM",High/High,CAM
220814,L. Hernández,France,84,"CB, LB",High/High,LCB
230658,Arthur,Brazil,84,CM,Medium/Medium,SUB
202556,M. Depay,Netherlands,84,"CF, LW, CAM",High/Low,LW
209658,L. Goretzka,Germany,84,"CM, CAM, CDM",High/Medium,SUB
212194,J. Brandt,Germany,84,"CAM, LM, RM",Medium/Medium,SUB
213345,K. Coman,France,84,"LM, RM, LW",Medium/Low,LW
206113,S. Gnabry,Germany,84,"RM, LM, LW",High/Medium,RW
216594,N. Fekir,France,84,CAM,High/Medium,RM
192563,B. Leno,Germany,84,GK,Medium/Medium,GK
198706,Luis Alberto,Spain,84,"CAM, CM, CF",Medium/Medium,CM
212462,Alex Telles,Brazil,84,LB,High/High,LB
236583,J. Pavlenka,Czech Republic,84,GK,Medium/Medium,GK
198176,S. de Vrij,Netherlands,84,CB,Medium/High,CB
201995,Felipe Anderson,Brazil,84,LM,High/Medium,RM
120533,Pepe,Portugal,84,CB,Medium/High,RCB
162347,João Moutinho,Portugal,84,CM,High/High,LCM
167628,S. Ruffier,France,84,GK,Medium/Medium,GK
168435,S. Sirigu,Italy,84,GK,Medium/Medium,GK
171877,M. Hamšík,Slovakia,84,CM,High/Medium,CAM
172879,Sokratis,Greece,84,CB,Medium/High,RCB
176266,Lucas Leiva,Brazil,84,CDM,Medium/High,LDM
176635,M. Özil,Germany,84,"CAM, RW",Medium/Low,CAM
177610,Javi Martínez,Spain,84,"CDM, CB",Low/Medium,SUB
177683,Y. Sommer,Switzerland,84,GK,Medium/Medium,GK
180930,E. Džeko,Bosnia Herzegovina,84,ST,Medium/Medium,ST
181291,G. Wijnaldum,Netherlands,84,"CM, CDM",High/High,LCM
181458,I. Perišić,Croatia,84,LM,Medium/Medium,SUB
181783,M. Mandžukić,Croatia,84,"ST, LW",High/High,ST
181872,A. Vidal,Chile,84,"CM, CDM",High/High,SUB
183907,J. Boateng,Germany,84,CB,Medium/Medium,SUB
184432,Azpilicueta,Spain,84,"RB, CB",Medium/Medium,RB
185020,José Callejón,Spain,84,"RM, RW",High/High,RM
186942,I. Gündoğan,Germany,84,"CM, CDM",High/Medium,SUB
187961,Paulinho,Brazil,84,"CM, CAM, CDM",High/High,LCM
188377,K. Walker,England,84,RB,High/High,RB
190286,Canales,Spain,84,"CAM, CM, CF",High/Medium,RCM
190483,Douglas Costa,Brazil,84,"LM, RW, LW",High/Medium,SUB
197965,Pizzi,Portugal,84,"RM, CM",High/Medium,RM
199434,D. Tadić,Serbia,84,"CAM, LW, ST",Medium/Medium,ST
200647,J. Iličić,Slovenia,84,"CF, ST",Medium/Medium,RS
204485,R. Mahrez,Algeria,84,"RW, RM",Medium/Medium,SUB
205678,E. Višća,Bosnia Herzegovina,84,"RM, RW",High/Medium,RM
207863,Felipe,Brazil,84,CB,Medium/High,LCB
226271,Fabián,Spain,83,"CM, CDM, CAM",Medium/Medium,LCM
210413,A. Romagnoli,Italy,83,CB,Medium/High,LCB
226226,G. Lo Celso,Argentina,83,"CM, CAM, CF",High/Medium,SUB
231281,T. Alexander-Arnold,England,83,RB,High/Medium,RB
232432,L. Jović,Serbia,83,ST,Medium/Medium,SUB
205175,A. Milik,Poland,83,ST,Medium/Medium,RS
211300,A. Martial,France,83,"LW, ST, LM",Medium/Low,ST
212523,Anderson Talisca,Brazil,83,"CAM, RW",High/Low,RW
213331,J. Tah,Germany,83,CB,Medium/Medium,RCB
219683,C. Tolisso,France,83,"CM, CDM",High/Medium,RCM
221087,Pau López,Spain,83,GK,Medium/Medium,GK
224411,Gonçalo Guedes,Portugal,83,"LM, ST",High/Medium,LM
226110,N. Pépé,Cote d'Ivoire,83,"RM, RW, ST",High/Low,RM
229237,M. Akanji,Switzerland,83,CB,Medium/High,RCB
231677,M. Rashford,England,83,"ST, LM",High/High,LM
203574,J. Stones,England,83,CB,High/Medium,RCB
210008,A. Rabiot,France,83,"CM, CDM",High/Medium,LCM
210035,Grimaldo,Spain,83,LB,High/Medium,LB
212188,T. Werner,Germany,83,ST,High/Medium,LS
213565,T. Lemar,France,83,"LM, CAM, RM",Medium/Medium,LM
220793,D. Sánchez,Colombia,83,CB,Medium/High,SUB
220834,Marco Asensio,Spain,83,"LW, RW",High/Medium,SUB
200458,L. Digne,France,83,LB,High/Medium,LB
202166,J. Draxler,Germany,83,"CAM, CM, LW",Medium/Medium,SUB
204935,J. Pickford,England,83,GK,Medium/Medium,GK
208418,Y. Carrasco,Belgium,83,LM,High/Medium,LM
224179,Borja Iglesias,Spain,83,ST,High/Medium,ST
192984,K. Casteels,Belgium,83,GK,Medium/Medium,GK
198717,W. Zaha,Cote d'Ivoire,83,"CF, LM, LW",High/Low,LS
200454,Paco Alcácer,Spain,83,ST,Medium/Low,ST
201153,Morata,Spain,83,ST,High/High,LS
205693,S. Haller,France,83,ST,High/Medium,ST
207566,William Carvalho,Portugal,83,"CDM, CM",Medium/Medium,CDM
212404,F. Bernardeschi,Italy,83,"RM, CAM",High/Medium,SUB
217940,D. Djené,Togo,83,CB,Medium/High,RCB
188152,Oscar,Brazil,83,"CAM, CM",High/Medium,RCM
188943,K. Trapp,Germany,83,GK,Medium/Medium,GK
198141,Bartra,Spain,83,CB,High/Medium,RCB
198950,Pablo Sarabia,Spain,83,"CAM, CM, RM",High/Medium,SUB
199987,J. Cillessen,Netherlands,83,GK,Medium/Medium,GK
200949,Lucas Moura,Brazil,83,"CF, RM, LM",High/Medium,SUB
204970,F. Thauvin,France,83,"RW, RM",High/Medium,RW
205498,Jorginho,Italy,83,"CM, CDM",Medium/Medium,CDM
1179,G. Buffon,Italy,83,GK,Medium/Medium,SUB
5479,Casillas,Spain,83,GK,Medium/Medium,RES
104389,R. Jarstein,Norway,83,GK,Medium/Medium,GK
139720,V. Kompany,Belgium,83,CB,Medium/High,LCB
157481,Raúl Albiol,Spain,83,CB,Low/High,RCB
159261,F. Quagliarella,Italy,83,ST,Medium/Medium,ST
163587,K. Schmeichel,Denmark,83,GK,Medium/Medium,GK
167397,Falcao,Colombia,83,ST,High/Medium,LS
168609,Miranda,Brazil,83,CB,Medium/High,RCB
169416,C. Vela,Mexico,83,"RW, LW, CAM",High/Low,RW
170481,E. Garay,Argentina,83,CB,Medium/Medium,RCB
178005,Rui Patrício,Portugal,83,GK,Medium/Medium,GK
178518,R. Nainggolan,Belgium,83,"CAM, CM",High/High,CAM
178562,E. Banega,Argentina,83,"CDM, CM, CAM",High/Medium,RCM
179844,Diego Costa,Spain,83,ST,High/Medium,SUB
179846,S. Khedira,Germany,83,"CM, CDM",Medium/High,RES
179944,David Luiz,Brazil,83,CB,Medium/Medium,LCB
183574,M. Kruse,Germany,83,"CF, ST, CAM",High/Medium,CAM
183711,J. Henderson,England,83,"CDM, CM",High/High,RCM
184484,G. Sigurðsson,Iceland,83,CAM,High/High,CAM
186561,A. Ramsey,Wales,83,"CM, CAM",High/High,SUB
190584,Illarramendi,Spain,83,"CDM, CM",Medium/High,RCM
190815,D. Blind,Netherlands,83,"CDM, CB, LB",Medium/Medium,LDM
190941,L. Hrádecký,Finland,83,GK,Medium/Medium,GK
192366,N. Otamendi,Argentina,83,CB,Medium/High,SUB
193082,J. Cuadrado,Colombia,83,"RM, RW",High/Medium,SUB
193474,I. Gueye,Senegal,83,CDM,Medium/High,SUB
195365,K. Kampl,Slovenia,83,"CM, CAM, CDM",High/High,CM
198329,Rodrigo,Spain,83,ST,High/Medium,LS
199042,C. Aránguiz,Chile,83,"CM, CDM",Medium/Medium,LCM
199451,W. Ben Yedder,France,83,ST,High/High,RS
199845,F. Acerbi,Italy,83,CB,Medium/Medium,CB
200888,Danilo Pereira,Portugal,83,"CDM, CM",Medium/High,LCM
216354,A. Kramarić,Croatia,83,"ST, CAM, LW",Medium/Medium,LS
230294,Louri Beretta,Brazil,83,"ST, CF",High/Low,ST
230375,Josué Chiamulera,Brazil,83,CB,Medium/Medium,RCB
230481,Ronaldo Cabrais,Brazil,83,"RW, CAM",High/Medium,RM
230142,Oyarzabal,Spain,82,"LW, LM, RW",High/Medium,LW
229906,L. Bailey,Jamaica,82,"LW, RW",Medium/Medium,LM
230666,Gabriel Jesus,Brazil,82,ST,High/High,SUB
207410,M. Kovačić,Croatia,82,CM,High/High,SUB
208596,A. Belotti,Italy,82,ST,High/High,ST
212151,T. Strakosha,Albania,82,GK,Medium/Medium,GK
220971,N. Keïta,Guinea,82,"CM, CDM",High/Medium,SUB
223959,L. Torreira,Uruguay,82,"CDM, CM",Medium/High,RDM
224293,Rúben Neves,Portugal,82,CM,Medium/High,CM
225850,P. Kimpembe,France,82,CB,High/High,SUB
225953,S. Bergwijn,Netherlands,82,"RW, CAM, LW",Medium/Medium,CAM
226753,A. Onana,Cameroon,82,GK,Medium/Medium,GK
227928,Nélson Semedo,Portugal,82,RB,Medium/High,RB
193105,A. Areola,France,82,GK,Medium/Medium,GK
198009,M. Perin,Italy,82,GK,Medium/Medium,SUB
211320,D. Rugani,Italy,82,CB,Low/Medium,RES
214997,A. Correa,Argentina,82,"RM, ST",High/Medium,SUB
216201,Iñaki Williams,Spain,82,"ST, RW",High/High,RW
221992,H. Lozano,Mexico,82,"RW, LW",High/Low,RW
227055,Gelson Martins,Portugal,82,"RM, RW",High/Medium,RM
200726,B. Lecomte,France,82,GK,Medium/Medium,GK
209989,T. Partey,Ghana,82,"CM, CDM, RM",Medium/High,RCM
211748,K. Demirbay,Germany,82,CM,Medium/Medium,LF
197061,J. Matip,Cameroon,82,CB,Medium/Medium,SUB
202651,Suso,Spain,82,"RW, CF",High/Medium,RS
204639,S. Savić,Montenegro,82,CB,Medium/High,SUB
205452,A. Rüdiger,Germany,82,CB,Medium/High,SUB
209960,Pacheco,Spain,82,GK,Medium/Medium,GK
210243,Ricardo Pereira,Portugal,82,"RB, RM",High/High,RB
211256,N. Tagliafico,Argentina,82,LB,High/High,LB
223952,David Soria,Spain,82,GK,Medium/Medium,GK
178750,Sergio Asenjo,Spain,82,GK,Medium/Medium,GK
189575,Muniain,Spain,82,"CAM, LW",Medium/Low,LW
192318,M. Götze,Germany,82,"CF, CAM, CM",High/Medium,SUB
193283,T. Delaney,Denmark,82,"CDM, CM",High/High,SUB
193698,O. Baumann,Germany,82,GK,Medium/Medium,GK
195093,Willian José,Brazil,82,ST,Medium/Low,ST
199564,Sergi Roberto,Spain,82,"RB, RM, CM",High/High,SUB
200536,N. Schulz,Germany,82,"LWB, LM, LB",High/Medium,LB
200610,K. Volland,Germany,82,"ST, RW, LW",High/High,ST
200724,Nacho Fernández,Spain,82,"CB, LB, RB",Medium/High,SUB
201305,Gabriel Paulista,Brazil,82,CB,Low/High,LCB
202562,J. Roussillon,France,82,LB,High/Medium,LM
203263,H. Maguire,England,82,CB,High/High,LCB
203486,T. Hazard,Belgium,82,"RM, LM, CF",High/Medium,LM
208448,E. Forsberg,Sweden,82,"CAM, LM",Medium/Medium,LCM
208574,F. Kostić,Serbia,82,"LM, LWB",High/High,LM
216409,M. Politano,Italy,82,"RM, ST",High/Medium,SUB
216547,Rafa,Portugal,82,"LM, RM",High/Medium,LM
24630,Pepe Reina,Spain,82,GK,Medium/Medium,SUB
53302,D. De Rossi,Italy,82,CDM,Medium/High,LCM
106231,Aduriz,Spain,82,ST,High/Medium,ST
146536,Jesús Navas,Spain,82,"RM, RB",High/Medium,RB
146562,Santi Cazorla,Spain,82,"CM, CDM, LM",High/Low,CAM
156519,H. Herrera,Mexico,82,CM,High/High,SUB
158963,L. Biglia,Argentina,82,"CDM, CM",Medium/High,CM
164835,L. Fabiański,Poland,82,GK,Medium/Medium,GK
168354,E. Viviano,Italy,82,GK,Medium/Medium,RES
178088,Juan Mata,Spain,82,"CAM, RM",Medium/Medium,SUB
178509,O. Giroud,France,82,ST,Medium/Medium,SUB
179645,S. Kjær,Denmark,82,CB,Low/High,RCB
180403,Willian,Brazil,82,"RW, LW",High/High,SUB
181786,V. Ćorluka,Croatia,82,CB,High/Medium,LCB
184200,M. Arnautović,Austria,82,ST,High/Medium,ST
184941,A. Sánchez,Chile,82,"LW, LM",High/High,SUB
184942,Giuliano,Brazil,82,CAM,High/Medium,CAM
185103,A. Kolarov,Serbia,82,LB,High/Medium,LB
186627,M. Balotelli,Italy,82,ST,Medium/Low,RS
187754,Marlos,Ukraine,82,"RM, CAM",Medium/Medium,RAM
188803,Taison,Brazil,82,"CAM, LM",Medium/Medium,LAM
189068,B. Dost,Netherlands,82,ST,Medium/Medium,SUB
189125,G. Bonaventura,Italy,82,"CM, LW",High/Medium,SUB
189505,Pedro,Spain,82,"RW, LW",High/High,RW
189805,L. de Jong,Netherlands,82,ST,Medium/High,ST
190813,S. El Shaarawy,Italy,82,LW,Medium/High,LW
191740,Ander Herrera,Spain,82,"CM, CDM",High/High,LCM
193348,X. Shaqiri,Switzerland,82,"RW, RM",Medium/Medium,SUB
193525,Mário Fernandes,Russia,82,"RWB, RM",High/High,RM
197655,S. Coates,Uruguay,82,CB,Medium/Medium,RCB
198951,C. Bakambu,DR Congo,82,ST,Medium/Medium,RS
202371,T. Meunier,Belgium,82,"RB, RM",High/High,SUB
202857,K. Bellarabi,Germany,82,RW,High/Medium,SUB
207494,J. Lingard,England,82,"CAM, RW",High/High,CAM
208808,Q. Promes,Netherlands,82,"LW, RW",High/Medium,SUB
208830,J. Vardy,England,82,ST,High/High,ST
215333,D. Zapata,Colombia,82,ST,High/Medium,LS
216475,Morales,Spain,82,"ST, LM",High/Medium,LW
230168,Raphaelito Anjos,Brazil,82,GK,Medium/Medium,GK
230225,Juiano Mestres,Brazil,82,"CB, CDM",High/Medium,RCB
230258,Rosberto Dourado,Brazil,82,"CDM, CM, CAM",High/Medium,RDM
245309,E. Schetino,Uruguay,82,CB,Medium/Medium,
245313,J. Sildero,Uruguay,82,"CAM, RM",Medium/Low,
231478,L. Martínez,Argentina,81,ST,High/Medium,RS
234906,H. Aouar,France,81,CM,High/Medium,LCM
235569,T. Ndombele,France,81,"CM, CDM",Medium/Medium,LDM
240130,Éder Militão,Brazil,81,"CB, RB",Medium/High,SUB
205659,A. Cragno,Italy,81,GK,Medium/Medium,GK
221363,D. van de Beek,Netherlands,81,"CAM, CM",High/High,CAM
221660,V. Lindelöf,Sweden,81,CB,Medium/High,RCB
222509,Dani Ceballos,Spain,81,"CM, LM, CDM",High/Medium,SUB
226456,Pablo Fornals,Spain,81,"CAM, CM, LM",High/Medium,SUB
208333,E. Can,Germany,81,"CM, CDM",Medium/Medium,RCM
211688,Gayà,Spain,81,LB,High/Medium,LB
236632,David Neres,Brazil,81,"LW, RW, CAM",Medium/Medium,LAM
210406,P. Zieliński,Poland,81,"CM, LM",Medium/Medium,LM
215316,G. Rulli,Argentina,81,GK,Medium/Medium,GK
199503,G. Xhaka,Switzerland,81,"CM, CDM",Medium/Medium,LDM
201400,Rafinha,Brazil,81,"CAM, CM, RW",High/Medium,SUB
201455,G. Kondogbia,Central African Rep.,81,"CM, CDM",High/Medium,SUB
204923,M. Sabitzer,Austria,81,"CAM, CM",High/High,RCM
205988,L. Shaw,England,81,LB,High/Medium,LB
207877,J. Martínez,Venezuela,81,ST,High/Medium,ST
208135,A. Doucouré,France,81,"CDM, CM",High/Medium,RDM
226790,W. Ndidi,Nigeria,81,"CDM, CM",Medium/High,CDM
200316,T. Horn,Germany,81,GK,Medium/Medium,GK
204638,W. Orban,Hungary,81,CB,Medium/High,LCB
206467,A. Plea,France,81,"ST, LW",High/Medium,LS
207791,Y. Poulsen,Denmark,81,ST,High/High,RS
207807,R. Fraser,Scotland,81,LM,High/Medium,LM
207862,M. Ginter,Germany,81,"CB, CDM",Medium/Medium,RCB
209889,R. Guerreiro,Portugal,81,"LM, LB, CM",Medium/Medium,SUB
212814,João Mário,Portugal,81,"CAM, CM",Medium/Medium,RES
213874,Thiago Mendes,Brazil,81,"CDM, CM",High/Medium,RCM
216145,A. Izzo,Italy,81,CB,Medium/Medium,RCB
216352,M. Brozović,Croatia,81,"CDM, CM",Medium/High,CDM
190544,A. Ljajić,Serbia,81,"CAM, LW",High/Low,CAM
193165,J. Corona,Mexico,81,"RM, RB",Medium/Medium,RM
199575,Jordi Masip,Spain,81,GK,Medium/Medium,GK
204120,T. Vaclík,Czech Republic,81,GK,Medium/Medium,GK
206304,L. Milivojević,Serbia,81,"CDM, CM",Medium/High,RCM
208093,Gerard Moreno,Spain,81,"ST, CF",High/Medium,ST
223689,W. Weghorst,Netherlands,81,ST,High/High,ST
20775,Quaresma,Portugal,81,"RM, LM",High/Low,RM
112316,J. Mathieu,France,81,CB,High/Medium,LCB
138412,J. Milner,England,81,"CM, LB",High/High,SUB
142707,L. López,Argentina,81,ST,High/High,LS
159145,B. Gomis,France,81,ST,High/Low,LS
162240,M. Dembélé,Belgium,81,"CM, CAM, CDM",Medium/Medium,CM
162895,Cesc Fàbregas,Spain,81,"CM, CDM",High/Medium,LCM
163489,A. Consigli,Italy,81,GK,Medium/Medium,GK
165229,L. Koscielny,France,81,CB,Low/High,CB
168530,Jardel,Brazil,81,CB,Medium/High,SUB
169195,Renato Augusto,Brazil,81,"CM, CAM, CDM",Medium/Medium,LAM
171791,José Fonte,Portugal,81,CB,Medium/High,RCB
171897,A. Guardado,Mexico,81,"CM, CDM, LM",Medium/Medium,LCM
173771,L. Piszczek,Poland,81,RB,Medium/Medium,RB
176600,K. Gameiro,France,81,ST,Medium/Medium,RS
177388,D. Payet,France,81,"CAM, LW",High/Low,LW
177600,Beñat,Spain,81,CM,Low/Medium,LCM
178086,Adán,Spain,81,GK,Medium/Medium,SUB
179784,B. Höwedes,Germany,81,"CB, LB",Medium/Medium,RCB
182494,F. Muslera,Uruguay,81,GK,Medium/Medium,GK
183394,M. Sissoko,France,81,"CM, CDM",High/High,SUB
183498,M. Parolo,Italy,81,"CDM, CM",High/High,SUB
184134,Fernando,Brazil,81,"CDM, CM",Medium/Medium,CDM
184144,N. Gaitán,Argentina,81,CAM,Medium/Medium,CAM
184431,S. Giovinco,Italy,81,"CF, ST, RM",High/Medium,RS
185221,Luiz Gustavo,Brazil,81,"CDM, CB",Medium/High,CDM
188829,N. Nkoulou,Cameroon,81,CB,Medium/Medium,CB
191202,N. Matić,Serbia,81,"CDM, CM",Medium/Medium,SUB
192638,Marcos Alonso,Spain,81,"LB, LWB",High/Low,SUB
192883,H. Mkhitaryan,Armenia,81,"RM, CAM, RW",High/High,SUB
194022,André Almeida,Portugal,81,RB,Medium/High,RB
203551,A. Florenzi,Italy,81,"RB, RW, LW",High/Medium,RB
204399,E. Zahavi,Israel,81,"CF, ST",High/Low,LW
207471,F. Vázquez,Argentina,81,"CM, CAM",Medium/Medium,LCM
208618,Lucas Vázquez,Spain,81,"RW, RM",High/Low,SUB
216194,Dani García,Spain,81,"CM, CDM",Medium/High,RCM
224334,M. Acuña,Argentina,81,"LW, LB",High/High,LW
230271,Laure Santeiro,Brazil,81,"CAM, LM, LW",Medium/Medium,LM
245299,J. Frendado,Uruguay,81,"CB, CDM",High/Medium,
245304,S. Ardero,Uruguay,81,"CAM, LM, LW",Medium/Medium,
245305,L. Dálves,Uruguay,81,"ST, CF",High/Low,
251700,S. Mandíquez,Ecuador,81,ST,High/Medium,
242444,João Félix,Portugal,80,"CF, ST",High/Medium,RS
224232,N. Barella,Italy,80,"CM, CAM",Medium/High,RCM
225100,J. Gomez,England,80,"CB, RB",Medium/Medium,RCB
213661,A. Christensen,Denmark,80,CB,Low/Medium,RCB
215698,M. Maignan,France,80,GK,Medium/Medium,GK
216393,Y. Tielemans,Belgium,80,"CM, CDM",Medium/Medium,RCM
229668,Mario Hermoso,Spain,80,CB,High/Medium,SUB
234153,Carlos Soler,Spain,80,"RM, CM",Medium/Medium,RM
220477,M. Caldara,Italy,80,CB,Medium/High,SUB
222400,H. Winks,England,80,"CM, CDM",Medium/High,RDM
223113,K. Piątek,Poland,80,ST,Medium/Medium,LS
224458,Diogo Jota,Portugal,80,"CF, LW",High/High,LS
226161,Marcos Llorente,Spain,80,CDM,Medium/Medium,SUB
228618,F. Mendy,France,80,LB,High/Medium,SUB
236679,Melendo,Spain,80,"RM, LM, CAM",Medium/Medium,RM
239818,Rúben Dias,Portugal,80,CB,Medium/High,RCB
241671,D. Livaković,Croatia,80,GK,Medium/Medium,GK
203747,Héctor Bellerín,Spain,80,"RB, RWB",High/Low,SUB
204884,B. Mendy,France,80,LB,High/Low,SUB
